assessment_id,student_id,subject,assessment_type,date,max_marks,obtained_marks,percentage,grade,term,remarks
ASS_INST_001_000001,STU_INST_001_0001,Mathematics,Project Work,2025-08-31,50,32,65.6,B2,Final Term,Good
ASS_INST_001_000002,STU_INST_001_0001,Social Studies,Half Yearly Exam,2025-06-29,50,15,31.1,D,First Term,Needs Improvement
ASS_INST_001_000003,STU_INST_001_0001,Biology,Final Exam,2025-09-08,80,27,33.8,D,Final Term,Needs Improvement
ASS_INST_001_000004,STU_INST_001_0001,Sanskrit,Assignment,2025-07-12,25,18,75.7,B1,Second Term,Very Good
ASS_INST_001_000005,STU_INST_001_0001,English,Assignment,2025-07-17,50,28,56.8,C1,First Term,Satisfactory
ASS_INST_001_000006,STU_INST_001_0001,Chemistry,Practical Exam,2025-08-15,80,52,66.2,B2,Final Term,Good
ASS_INST_001_000007,STU_INST_001_0001,Economics,Quiz,2025-06-17,100,32,32.9,D,First Term,Needs Improvement
ASS_INST_001_000008,STU_INST_001_0001,Social Studies,Practical Exam,2025-08-07,25,17,68.3,B2,First Term,Good
ASS_INST_001_000009,STU_INST_001_0001,Social Studies,Final Exam,2025-09-12,25,12,48.5,C2,Second Term,Needs Improvement
ASS_INST_001_000010,STU_INST_001_0001,Chemistry,Monthly Test,2025-08-29,100,53,53.1,C1,Final Term,Satisfactory
ASS_INST_001_000011,STU_INST_001_0001,Sanskrit,Quiz,2025-07-27,80,62,77.8,B1,First Term,Very Good
ASS_INST_001_000012,STU_INST_001_0001,Chemistry,Project Work,2025-09-02,25,7,30.1,D,Final Term,Needs Improvement
ASS_INST_001_000013,STU_INST_001_0001,Social Studies,Project Work,2025-06-12,100,67,67.4,B2,Final Term,Good
ASS_INST_001_000014,STU_INST_001_0001,Sanskrit,Assignment,2025-06-03,100,57,57.9,C1,Final Term,Satisfactory
ASS_INST_001_000015,STU_INST_001_0002,Economics,Quiz,2025-05-30,20,12,60.1,B2,Second Term,Good
ASS_INST_001_000016,STU_INST_001_0002,Mathematics,Quiz,2025-08-26,25,11,44.2,C2,First Term,Needs Improvement
ASS_INST_001_000017,STU_INST_001_0002,Biology,Practical Exam,2025-09-14,25,14,59.9,C1,Second Term,Satisfactory
ASS_INST_001_000018,STU_INST_001_0002,Physics,Practical Exam,2025-06-07,100,49,49.2,C2,Final Term,Needs Improvement
ASS_INST_001_000019,STU_INST_001_0002,Chemistry,Quiz,2025-09-15,25,21,85.3,A2,Second Term,Excellent
ASS_INST_001_000020,STU_INST_001_0002,English,Assignment,2025-09-14,20,13,65.6,B2,First Term,Good
ASS_INST_001_000021,STU_INST_001_0002,Accountancy,Unit Test,2025-09-11,80,41,51.8,C1,Second Term,Satisfactory
ASS_INST_001_000022,STU_INST_001_0002,Biology,Quiz,2025-09-08,25,9,38.1,D,Second Term,Needs Improvement
ASS_INST_001_000023,STU_INST_001_0002,Chemistry,Half Yearly Exam,2025-08-21,20,11,55.6,C1,Second Term,Satisfactory
ASS_INST_001_000024,STU_INST_001_0002,Economics,Project Work,2025-07-16,25,21,86.2,A2,First Term,Excellent
ASS_INST_001_000025,STU_INST_001_0002,Computer Science,Monthly Test,2025-09-11,80,52,65.9,B2,Second Term,Good
ASS_INST_001_000026,STU_INST_001_0002,Biology,Internal Assessment,2025-06-28,80,48,60.7,B2,First Term,Good
ASS_INST_001_000027,STU_INST_001_0002,Computer Science,Viva Voce,2025-08-18,25,23,94.5,A1,Second Term,Outstanding
ASS_INST_001_000028,STU_INST_001_0002,Biology,Quiz,2025-08-29,80,45,56.5,C1,Final Term,Satisfactory
ASS_INST_001_000029,STU_INST_001_0002,English,Unit Test,2025-05-29,20,9,49.4,C2,First Term,Needs Improvement
ASS_INST_001_000030,STU_INST_001_0002,Mathematics,Assignment,2025-08-10,25,17,71.2,B1,First Term,Very Good
ASS_INST_001_000031,STU_INST_001_0002,Chemistry,Internal Assessment,2025-06-21,20,14,71.5,B1,First Term,Very Good
ASS_INST_001_000032,STU_INST_001_0002,Social Studies,Practical Exam,2025-07-05,50,26,53.4,C1,Final Term,Satisfactory
ASS_INST_001_000033,STU_INST_001_0003,Social Studies,Unit Test,2025-09-08,50,16,32.1,D,First Term,Needs Improvement
ASS_INST_001_000034,STU_INST_001_0003,Chemistry,Final Exam,2025-07-04,25,18,72.5,B1,First Term,Very Good
ASS_INST_001_000035,STU_INST_001_0003,Science,Practical Exam,2025-07-04,25,9,38.7,D,Final Term,Needs Improvement
ASS_INST_001_000036,STU_INST_001_0003,Accountancy,Monthly Test,2025-05-30,100,20,20.4,D,Final Term,Needs Improvement
ASS_INST_001_000037,STU_INST_001_0003,Economics,Internal Assessment,2025-07-03,80,39,50.0,C2,Final Term,Needs Improvement
ASS_INST_001_000038,STU_INST_001_0003,Physics,Internal Assessment,2025-07-14,25,15,62.6,B2,Second Term,Good
ASS_INST_001_000039,STU_INST_001_0003,Hindi,Unit Test,2025-08-30,50,21,43.1,C2,Second Term,Needs Improvement
ASS_INST_001_000040,STU_INST_001_0003,Biology,Practical Exam,2025-07-27,50,28,56.2,C1,First Term,Satisfactory
ASS_INST_001_000041,STU_INST_001_0003,Chemistry,Project Work,2025-06-19,50,13,27.6,D,Final Term,Needs Improvement
ASS_INST_001_000042,STU_INST_001_0003,English,Assignment,2025-05-25,100,57,57.8,C1,First Term,Satisfactory
ASS_INST_001_000043,STU_INST_001_0003,Sanskrit,Internal Assessment,2025-07-25,20,5,29.3,D,Final Term,Needs Improvement
ASS_INST_001_000044,STU_INST_001_0003,Physics,Unit Test,2025-08-14,50,25,52.0,C1,Second Term,Satisfactory
ASS_INST_001_000045,STU_INST_001_0003,Mathematics,Quiz,2025-06-08,80,48,60.3,B2,Final Term,Good
ASS_INST_001_000046,STU_INST_001_0003,Economics,Monthly Test,2025-08-18,100,48,48.3,C2,Second Term,Needs Improvement
ASS_INST_001_000047,STU_INST_001_0004,Accountancy,Quiz,2025-07-12,20,1,8.7,D,First Term,Needs Improvement
ASS_INST_001_000048,STU_INST_001_0004,Social Studies,Project Work,2025-08-02,100,9,9.5,D,First Term,Needs Improvement
ASS_INST_001_000049,STU_INST_001_0004,Social Studies,Assignment,2025-08-09,25,14,59.6,C1,First Term,Satisfactory
ASS_INST_001_000050,STU_INST_001_0004,Chemistry,Quiz,2025-07-02,25,4,17.1,D,First Term,Needs Improvement
ASS_INST_001_000051,STU_INST_001_0004,English,Internal Assessment,2025-06-04,25,11,44.7,C2,Final Term,Needs Improvement
ASS_INST_001_000052,STU_INST_001_0004,Chemistry,Monthly Test,2025-07-13,80,26,33.1,D,Second Term,Needs Improvement
ASS_INST_001_000053,STU_INST_001_0004,Physics,Final Exam,2025-06-11,80,10,12.9,D,Final Term,Needs Improvement
ASS_INST_001_000054,STU_INST_001_0004,Science,Final Exam,2025-06-02,25,5,21.3,D,Second Term,Needs Improvement
ASS_INST_001_000055,STU_INST_001_0004,Social Studies,Monthly Test,2025-07-31,80,49,61.5,B2,Final Term,Good
ASS_INST_001_000056,STU_INST_001_0004,English,Quiz,2025-09-12,100,93,93.8,A1,Second Term,Outstanding
ASS_INST_001_000057,STU_INST_001_0004,Mathematics,Half Yearly Exam,2025-05-19,50,12,25.2,D,First Term,Needs Improvement
ASS_INST_001_000058,STU_INST_001_0004,Mathematics,Final Exam,2025-09-13,20,4,24.0,D,Final Term,Needs Improvement
ASS_INST_001_000059,STU_INST_001_0004,Science,Assignment,2025-05-26,50,0,1.4,D,Second Term,Needs Improvement
ASS_INST_001_000060,STU_INST_001_0004,Science,Quiz,2025-09-03,20,0,1.2,D,Final Term,Needs Improvement
ASS_INST_001_000061,STU_INST_001_0005,Biology,Assignment,2025-08-30,80,32,40.6,C2,Final Term,Needs Improvement
ASS_INST_001_000062,STU_INST_001_0005,Economics,Project Work,2025-09-01,50,24,48.1,C2,First Term,Needs Improvement
ASS_INST_001_000063,STU_INST_001_0005,Mathematics,Final Exam,2025-06-11,80,44,55.6,C1,Final Term,Satisfactory
ASS_INST_001_000064,STU_INST_001_0005,Social Studies,Final Exam,2025-08-14,20,13,68.5,B2,First Term,Good
ASS_INST_001_000065,STU_INST_001_0005,Sanskrit,Quiz,2025-09-06,80,48,60.0,B2,Final Term,Good
ASS_INST_001_000066,STU_INST_001_0005,Chemistry,Viva Voce,2025-06-30,50,34,68.8,B2,Final Term,Good
ASS_INST_001_000067,STU_INST_001_0005,Computer Science,Project Work,2025-09-02,20,9,45.0,C2,Final Term,Needs Improvement
ASS_INST_001_000068,STU_INST_001_0005,Social Studies,Viva Voce,2025-05-30,20,10,54.8,C1,Final Term,Satisfactory
ASS_INST_001_000069,STU_INST_001_0005,Physics,Monthly Test,2025-09-07,20,9,49.5,C2,First Term,Needs Improvement
ASS_INST_001_000070,STU_INST_001_0005,Economics,Assignment,2025-07-08,50,16,33.3,D,Final Term,Needs Improvement
ASS_INST_001_000071,STU_INST_001_0005,Accountancy,Viva Voce,2025-06-07,50,10,20.5,D,Second Term,Needs Improvement
ASS_INST_001_000072,STU_INST_001_0005,Chemistry,Monthly Test,2025-08-28,50,22,44.0,C2,Final Term,Needs Improvement
ASS_INST_001_000073,STU_INST_001_0005,Physics,Half Yearly Exam,2025-07-25,20,2,11.4,D,First Term,Needs Improvement
ASS_INST_001_000074,STU_INST_001_0005,Science,Practical Exam,2025-06-18,20,7,35.7,D,First Term,Needs Improvement
ASS_INST_001_000075,STU_INST_001_0005,Economics,Final Exam,2025-07-15,50,32,65.9,B2,First Term,Good
ASS_INST_001_000076,STU_INST_001_0006,Chemistry,Practical Exam,2025-06-04,100,31,31.7,D,Second Term,Needs Improvement
ASS_INST_001_000077,STU_INST_001_0006,Biology,Quiz,2025-06-11,80,23,28.9,D,First Term,Needs Improvement
ASS_INST_001_000078,STU_INST_001_0006,Science,Internal Assessment,2025-08-03,20,9,49.7,C2,Final Term,Needs Improvement
ASS_INST_001_000079,STU_INST_001_0006,Computer Science,Project Work,2025-06-25,25,3,15.4,D,Second Term,Needs Improvement
ASS_INST_001_000080,STU_INST_001_0006,Physics,Practical Exam,2025-08-03,50,20,40.8,C2,Final Term,Needs Improvement
ASS_INST_001_000081,STU_INST_001_0006,Sanskrit,Half Yearly Exam,2025-07-02,25,3,14.0,D,Second Term,Needs Improvement
ASS_INST_001_000082,STU_INST_001_0006,Computer Science,Practical Exam,2025-09-08,25,8,33.5,D,First Term,Needs Improvement
ASS_INST_001_000083,STU_INST_001_0006,Biology,Internal Assessment,2025-06-07,50,15,31.3,D,First Term,Needs Improvement
ASS_INST_001_000084,STU_INST_001_0006,Chemistry,Viva Voce,2025-07-02,50,16,32.2,D,Second Term,Needs Improvement
ASS_INST_001_000085,STU_INST_001_0006,Chemistry,Unit Test,2025-07-15,80,17,21.5,D,Final Term,Needs Improvement
ASS_INST_001_000086,STU_INST_001_0006,Computer Science,Unit Test,2025-07-25,50,17,34.2,D,First Term,Needs Improvement
ASS_INST_001_000087,STU_INST_001_0006,Physics,Internal Assessment,2025-08-21,100,35,35.7,D,Second Term,Needs Improvement
ASS_INST_001_000088,STU_INST_001_0006,Computer Science,Practical Exam,2025-07-23,100,2,2.7,D,Second Term,Needs Improvement
ASS_INST_001_000089,STU_INST_001_0006,Economics,Monthly Test,2025-07-24,100,43,43.8,C2,Final Term,Needs Improvement
ASS_INST_001_000090,STU_INST_001_0006,Sanskrit,Half Yearly Exam,2025-07-15,20,1,6.3,D,Second Term,Needs Improvement
ASS_INST_001_000091,STU_INST_001_0006,Social Studies,Project Work,2025-08-06,50,6,12.7,D,Second Term,Needs Improvement
ASS_INST_001_000092,STU_INST_001_0006,English,Final Exam,2025-06-23,80,26,32.9,D,Final Term,Needs Improvement
ASS_INST_001_000093,STU_INST_001_0007,Hindi,Final Exam,2025-08-27,20,13,67.8,B2,Second Term,Good
ASS_INST_001_000094,STU_INST_001_0007,Mathematics,Viva Voce,2025-06-09,25,15,61.0,B2,Second Term,Good
ASS_INST_001_000095,STU_INST_001_0007,Sanskrit,Internal Assessment,2025-09-15,20,12,62.9,B2,Final Term,Good
ASS_INST_001_000096,STU_INST_001_0007,Biology,Viva Voce,2025-08-02,100,36,36.5,D,Second Term,Needs Improvement
ASS_INST_001_000097,STU_INST_001_0007,Sanskrit,Internal Assessment,2025-08-04,50,23,47.6,C2,Final Term,Needs Improvement
ASS_INST_001_000098,STU_INST_001_0007,English,Viva Voce,2025-07-19,80,16,20.1,D,Second Term,Needs Improvement
ASS_INST_001_000099,STU_INST_001_0007,Hindi,Practical Exam,2025-07-01,50,20,40.5,C2,First Term,Needs Improvement
ASS_INST_001_000100,STU_INST_001_0007,Hindi,Half Yearly Exam,2025-06-12,100,32,32.9,D,Second Term,Needs Improvement
ASS_INST_001_000101,STU_INST_001_0007,Accountancy,Unit Test,2025-07-08,20,11,57.2,C1,Final Term,Satisfactory
ASS_INST_001_000102,STU_INST_001_0007,Chemistry,Monthly Test,2025-06-16,25,24,99.4,A1,Second Term,Outstanding
ASS_INST_001_000103,STU_INST_001_0007,Physics,Practical Exam,2025-06-07,25,17,70.7,B1,First Term,Very Good
ASS_INST_001_000104,STU_INST_001_0007,Sanskrit,Practical Exam,2025-09-11,50,8,16.6,D,First Term,Needs Improvement
ASS_INST_001_000105,STU_INST_001_0007,Sanskrit,Unit Test,2025-06-06,80,23,29.7,D,Second Term,Needs Improvement
ASS_INST_001_000106,STU_INST_001_0007,Biology,Viva Voce,2025-09-12,100,33,33.6,D,Second Term,Needs Improvement
ASS_INST_001_000107,STU_INST_001_0007,Social Studies,Assignment,2025-09-13,80,20,25.4,D,Final Term,Needs Improvement
ASS_INST_001_000108,STU_INST_001_0007,Sanskrit,Practical Exam,2025-07-12,80,41,51.9,C1,Second Term,Satisfactory
ASS_INST_001_000109,STU_INST_001_0008,Computer Science,Final Exam,2025-07-06,25,15,60.9,B2,Final Term,Good
ASS_INST_001_000110,STU_INST_001_0008,Computer Science,Half Yearly Exam,2025-08-22,80,26,33.5,D,First Term,Needs Improvement
ASS_INST_001_000111,STU_INST_001_0008,Social Studies,Quiz,2025-06-02,80,42,52.8,C1,Second Term,Satisfactory
ASS_INST_001_000112,STU_INST_001_0008,Hindi,Internal Assessment,2025-06-14,25,15,60.8,B2,Second Term,Good
ASS_INST_001_000113,STU_INST_001_0008,Mathematics,Quiz,2025-06-15,100,69,69.4,B2,First Term,Good
ASS_INST_001_000114,STU_INST_001_0008,Science,Viva Voce,2025-09-15,50,29,59.6,C1,Second Term,Satisfactory
ASS_INST_001_000115,STU_INST_001_0008,Computer Science,Final Exam,2025-08-03,50,31,62.8,B2,First Term,Good
ASS_INST_001_000116,STU_INST_001_0008,Science,Viva Voce,2025-08-12,20,11,56.1,C1,First Term,Satisfactory
ASS_INST_001_000117,STU_INST_001_0008,Physics,Practical Exam,2025-08-28,25,9,38.6,D,Second Term,Needs Improvement
ASS_INST_001_000118,STU_INST_001_0008,Computer Science,Monthly Test,2025-09-14,100,42,42.5,C2,First Term,Needs Improvement
ASS_INST_001_000119,STU_INST_001_0008,Sanskrit,Final Exam,2025-06-03,80,26,33.0,D,Second Term,Needs Improvement
ASS_INST_001_000120,STU_INST_001_0008,Economics,Monthly Test,2025-08-17,100,83,83.8,A2,First Term,Excellent
ASS_INST_001_000121,STU_INST_001_0008,Economics,Project Work,2025-07-02,25,7,30.4,D,Second Term,Needs Improvement
ASS_INST_001_000122,STU_INST_001_0008,Science,Viva Voce,2025-09-07,100,73,74.0,B1,Final Term,Very Good
ASS_INST_001_000123,STU_INST_001_0008,Hindi,Quiz,2025-07-30,20,6,30.5,D,Final Term,Needs Improvement
ASS_INST_001_000124,STU_INST_001_0008,Mathematics,Viva Voce,2025-07-16,80,56,70.6,B1,First Term,Very Good
ASS_INST_001_000125,STU_INST_001_0008,Hindi,Final Exam,2025-07-16,100,74,74.3,B1,Second Term,Very Good
ASS_INST_001_000126,STU_INST_001_0008,Sanskrit,Assignment,2025-08-23,50,38,77.5,B1,Final Term,Very Good
ASS_INST_001_000127,STU_INST_001_0009,Computer Science,Assignment,2025-06-11,50,22,44.4,C2,Second Term,Needs Improvement
ASS_INST_001_000128,STU_INST_001_0009,Sanskrit,Practical Exam,2025-06-10,25,16,66.1,B2,Final Term,Good
ASS_INST_001_000129,STU_INST_001_0009,Sanskrit,Internal Assessment,2025-09-13,20,10,52.4,C1,Second Term,Satisfactory
ASS_INST_001_000130,STU_INST_001_0009,Computer Science,Monthly Test,2025-07-08,80,37,47.2,C2,Second Term,Needs Improvement
ASS_INST_001_000131,STU_INST_001_0009,Biology,Monthly Test,2025-05-31,100,63,64.0,B2,First Term,Good
ASS_INST_001_000132,STU_INST_001_0009,Social Studies,Quiz,2025-08-22,50,38,77.8,B1,Final Term,Very Good
ASS_INST_001_000133,STU_INST_001_0009,Physics,Viva Voce,2025-08-15,50,26,52.5,C1,First Term,Satisfactory
ASS_INST_001_000134,STU_INST_001_0009,Biology,Half Yearly Exam,2025-06-24,100,69,69.1,B2,Second Term,Good
ASS_INST_001_000135,STU_INST_001_0009,English,Assignment,2025-08-08,50,23,46.8,C2,First Term,Needs Improvement
ASS_INST_001_000136,STU_INST_001_0009,Physics,Quiz,2025-07-30,20,8,44.4,C2,Second Term,Needs Improvement
ASS_INST_001_000137,STU_INST_001_0009,Economics,Practical Exam,2025-07-01,25,14,57.3,C1,First Term,Satisfactory
ASS_INST_001_000138,STU_INST_001_0009,Chemistry,Project Work,2025-07-02,20,11,58.4,C1,First Term,Satisfactory
ASS_INST_001_000139,STU_INST_001_0009,Economics,Project Work,2025-07-26,25,18,75.2,B1,Second Term,Very Good
ASS_INST_001_000140,STU_INST_001_0009,English,Unit Test,2025-07-06,25,10,40.7,C2,Final Term,Needs Improvement
ASS_INST_001_000141,STU_INST_001_0009,Hindi,Practical Exam,2025-06-05,20,20,100.0,A1,First Term,Outstanding
ASS_INST_001_000142,STU_INST_001_0009,Economics,Viva Voce,2025-08-04,80,24,30.9,D,Second Term,Needs Improvement
ASS_INST_001_000143,STU_INST_001_0009,Computer Science,Quiz,2025-08-12,80,53,67.3,B2,First Term,Good
ASS_INST_001_000144,STU_INST_001_0010,Hindi,Half Yearly Exam,2025-06-01,25,17,68.2,B2,Second Term,Good
ASS_INST_001_000145,STU_INST_001_0010,Science,Assignment,2025-06-17,25,15,61.6,B2,First Term,Good
ASS_INST_001_000146,STU_INST_001_0010,English,Monthly Test,2025-08-11,80,56,70.2,B1,Final Term,Very Good
ASS_INST_001_000147,STU_INST_001_0010,Social Studies,Half Yearly Exam,2025-08-23,100,85,85.4,A2,Second Term,Excellent
ASS_INST_001_000148,STU_INST_001_0010,Physics,Internal Assessment,2025-05-20,50,44,88.2,A2,Final Term,Excellent
ASS_INST_001_000149,STU_INST_001_0010,Science,Viva Voce,2025-05-23,20,13,69.4,B2,Second Term,Good
ASS_INST_001_000150,STU_INST_001_0010,Computer Science,Quiz,2025-05-29,50,39,79.3,B1,Final Term,Very Good
ASS_INST_001_000151,STU_INST_001_0010,Social Studies,Final Exam,2025-08-27,80,39,49.4,C2,Second Term,Needs Improvement
ASS_INST_001_000152,STU_INST_001_0010,Social Studies,Half Yearly Exam,2025-09-02,20,13,70.0,B2,Final Term,Good
ASS_INST_001_000153,STU_INST_001_0010,Computer Science,Half Yearly Exam,2025-08-09,25,20,80.4,A2,Final Term,Excellent
ASS_INST_001_000154,STU_INST_001_0010,Economics,Internal Assessment,2025-08-12,80,25,32.2,D,Final Term,Needs Improvement
