attendance_id,student_id,date,status,period_1,period_2,period_3,period_4,period_5,period_6,period_7,remarks
ATT_INST_001_000001,STU_INST_001_0001,2025-08-18,Present,True,True,True,True,True,True,True,
ATT_INST_001_000002,STU_INST_001_0001,2025-08-19,Present,True,True,True,True,True,True,True,
ATT_INST_001_000003,STU_INST_001_0001,2025-08-20,Present,True,True,True,True,True,True,True,
ATT_INST_001_000004,STU_INST_001_0001,2025-08-21,Present,True,True,True,True,True,True,True,
ATT_INST_001_000005,STU_INST_001_0001,2025-08-22,Present,True,True,True,True,True,True,True,
ATT_INST_001_000006,STU_INST_001_0001,2025-08-25,Present,True,True,True,True,True,True,True,
ATT_INST_001_000007,STU_INST_001_0001,2025-08-27,Present,True,True,True,True,True,True,True,
ATT_INST_001_000008,STU_INST_001_0001,2025-08-28,Present,True,True,True,True,True,True,True,
ATT_INST_001_000009,STU_INST_001_0001,2025-08-29,Present,True,True,True,True,True,True,True,
ATT_INST_001_000010,STU_INST_001_0001,2025-09-01,Present,True,True,True,True,True,True,True,
ATT_INST_001_000011,STU_INST_001_0001,2025-09-02,Present,True,True,True,True,True,True,True,
ATT_INST_001_000012,STU_INST_001_0001,2025-09-03,Present,True,True,True,True,True,True,True,
ATT_INST_001_000013,STU_INST_001_0001,2025-09-04,Present,True,True,True,True,True,True,False,
ATT_INST_001_000014,STU_INST_001_0001,2025-09-05,Excused,False,False,False,False,False,False,False,Family Function
ATT_INST_001_000015,STU_INST_001_0001,2025-09-08,Excused,False,False,False,False,False,False,False,Medical Appointment
ATT_INST_001_000016,STU_INST_001_0001,2025-09-09,Present,True,True,True,True,True,True,True,
ATT_INST_001_000017,STU_INST_001_0001,2025-09-10,Present,True,True,True,True,True,True,True,
ATT_INST_001_000018,STU_INST_001_0001,2025-09-11,Present,True,True,True,True,False,True,True,
ATT_INST_001_000019,STU_INST_001_0001,2025-09-12,Excused,False,False,False,False,False,False,False,No Reason Given
ATT_INST_001_000020,STU_INST_001_0001,2025-09-15,Present,True,True,True,False,True,True,True,
ATT_INST_001_000021,STU_INST_001_0002,2025-08-18,Present,True,True,True,True,True,True,True,
ATT_INST_001_000022,STU_INST_001_0002,2025-08-19,Present,True,True,True,True,False,True,False,
ATT_INST_001_000023,STU_INST_001_0002,2025-08-20,Present,True,True,True,True,True,True,True,
ATT_INST_001_000024,STU_INST_001_0002,2025-08-21,Present,True,True,True,True,True,True,True,
ATT_INST_001_000025,STU_INST_001_0002,2025-08-22,Present,True,True,True,True,False,True,True,
ATT_INST_001_000026,STU_INST_001_0002,2025-08-25,Present,True,True,False,True,True,True,True,
ATT_INST_001_000027,STU_INST_001_0002,2025-08-27,Excused,False,False,False,False,False,False,False,Medical Appointment
ATT_INST_001_000028,STU_INST_001_0002,2025-08-28,Present,True,True,True,True,True,True,False,
ATT_INST_001_000029,STU_INST_001_0002,2025-08-29,Present,True,True,True,True,True,True,True,
ATT_INST_001_000030,STU_INST_001_0002,2025-09-01,Present,True,True,True,True,True,True,True,
ATT_INST_001_000031,STU_INST_001_0002,2025-09-02,Present,True,True,True,True,True,True,True,
ATT_INST_001_000032,STU_INST_001_0002,2025-09-03,Present,True,True,True,True,True,True,True,
ATT_INST_001_000033,STU_INST_001_0002,2025-09-04,Present,True,True,True,True,True,True,True,
ATT_INST_001_000034,STU_INST_001_0002,2025-09-05,Present,True,True,True,True,True,True,True,
ATT_INST_001_000035,STU_INST_001_0002,2025-09-08,Present,True,True,True,True,True,False,True,
ATT_INST_001_000036,STU_INST_001_0002,2025-09-09,Present,True,False,True,True,True,True,True,
ATT_INST_001_000037,STU_INST_001_0002,2025-09-10,Late,False,False,False,False,False,False,False,Fever
ATT_INST_001_000038,STU_INST_001_0002,2025-09-11,Present,True,True,True,True,True,True,False,
ATT_INST_001_000039,STU_INST_001_0002,2025-09-12,Present,True,True,True,True,True,True,True,
ATT_INST_001_000040,STU_INST_001_0002,2025-09-15,Present,True,True,True,True,True,True,True,
ATT_INST_001_000041,STU_INST_001_0003,2025-08-18,Present,True,True,True,True,True,True,True,
ATT_INST_001_000042,STU_INST_001_0003,2025-08-19,Absent,False,False,False,False,False,False,False,Medical Appointment
ATT_INST_001_000043,STU_INST_001_0003,2025-08-20,Present,True,True,True,True,True,True,True,
ATT_INST_001_000044,STU_INST_001_0003,2025-08-21,Present,True,True,True,True,True,False,True,
ATT_INST_001_000045,STU_INST_001_0003,2025-08-22,Excused,False,False,False,False,False,False,False,Medical Appointment
ATT_INST_001_000046,STU_INST_001_0003,2025-08-25,Present,True,True,True,True,False,True,False,
ATT_INST_001_000047,STU_INST_001_0003,2025-08-27,Present,True,True,True,True,True,True,True,
ATT_INST_001_000048,STU_INST_001_0003,2025-08-28,Present,True,True,True,True,True,True,True,
ATT_INST_001_000049,STU_INST_001_0003,2025-08-29,Present,True,True,True,True,True,True,True,
ATT_INST_001_000050,STU_INST_001_0003,2025-09-01,Half Day,False,False,False,False,False,False,False,Festival
ATT_INST_001_000051,STU_INST_001_0003,2025-09-02,Half Day,False,False,False,False,False,False,False,Medical Appointment
ATT_INST_001_000052,STU_INST_001_0003,2025-09-03,Present,True,True,True,True,True,True,True,
ATT_INST_001_000053,STU_INST_001_0003,2025-09-04,Present,True,True,True,True,False,True,True,
ATT_INST_001_000054,STU_INST_001_0003,2025-09-05,Present,True,True,True,True,True,True,True,
ATT_INST_001_000055,STU_INST_001_0003,2025-09-08,Excused,False,False,False,False,False,False,False,Fever
ATT_INST_001_000056,STU_INST_001_0003,2025-09-09,Present,True,True,True,True,True,True,True,
ATT_INST_001_000057,STU_INST_001_0003,2025-09-10,Present,True,True,True,True,True,True,True,
ATT_INST_001_000058,STU_INST_001_0003,2025-09-11,Present,True,True,True,True,True,True,False,
