incident_id,student_id,date,incident_type,severity,description,reported_by,action_taken,parent_informed,follow_up_required,resolved,counselor_involved
BEH_INST_001_000001,STU_INST_001_0001,2025-03-19,Verbal Abuse,Moderate,Student involved in verbal abuse during class hours,Principal Nidhi Joshi,Verbal Warning,True,True,True,True
BEH_INST_001_000002,STU_INST_001_0001,2025-03-19,Bullying,Minor,Student involved in bullying during assembly,Class Teacher Laksh Raman,Behavior Contract,False,False,False,True
BEH_INST_001_000003,STU_INST_001_0002,2025-07-10,Bunking Classes,Minor,Student involved in bunking classes during sports period,Class Teacher Seema More,After School Detention,True,True,False,False
BEH_INST_001_000004,STU_INST_001_0004,2025-03-09,Uniform Violation,Severe,Student involved in uniform violation during sports period,Principal Dhruv Shah,After School Detention,False,False,True,False
BEH_INST_001_000005,STU_INST_001_0006,2025-05-02,Bullying,Moderate,Student involved in bullying during sports period,Discipline Incharge Sunita Joshi,Apology Letter,True,True,True,False
BEH_INST_001_000006,STU_INST_001_0011,2025-07-28,Uniform Violation,Moderate,Student involved in uniform violation during break time,Class Teacher Abhishek Singh,Apology Letter,False,True,True,False
BEH_INST_001_000007,STU_INST_001_0012,2025-07-04,Disrespect to Teacher,Moderate,Student involved in disrespect to teacher during assembly,Principal Suresh Saxena,Apology Letter,True,False,False,False
BEH_INST_001_000008,STU_INST_001_0013,2025-08-02,Uniform Violation,Moderate,Student involved in uniform violation during sports period,Subject Teacher Sneha Rao,Suspension,True,False,True,False
BEH_INST_001_000009,STU_INST_001_0016,2025-08-06,Verbal Abuse,Major,Student involved in verbal abuse during break time,Discipline Incharge Shreya Bose,Verbal Warning,False,False,False,False
BEH_INST_001_000010,STU_INST_001_0017,2025-07-29,Incomplete Homework,Moderate,Student involved in incomplete homework during sports period,Principal Ravi Joshi,After School Detention,True,True,True,False
BEH_INST_001_000011,STU_INST_001_0017,2025-09-14,Bunking Classes,Minor,Student involved in bunking classes during assembly,Discipline Incharge Veer Kumar,Community Service,False,False,False,False
BEH_INST_001_000012,STU_INST_001_0018,2025-05-27,Verbal Abuse,Severe,Student involved in verbal abuse during class hours,Class Teacher Atharv Kumar,Behavior Contract,True,True,True,False
BEH_INST_001_000013,STU_INST_001_0018,2025-06-06,Damage to Property,Minor,Student involved in damage to property during sports period,Class Teacher Seema Shukla,Suspension,True,True,True,False
