fee_id,student_id,fee_type,academic_year,quarter,due_date,amount_due,amount_paid,balance,payment_status,last_payment_date,payment_method,late_fee
FEE_INST_001_000001,STU_INST_001_0001,Tuition Fee,2024-25,Q3,2025-09-30,27131,27131,0,Paid,2025-06-27,UPI,0
FEE_INST_001_000002,STU_INST_001_0001,Activity Fee,2024-25,Q1,2025-11-17,4585,4585,0,Paid,2025-08-28,Online Banking,0
FEE_INST_001_000003,STU_INST_001_0001,Exam Fee,2024-25,Q1,2025-08-24,6461,6461,0,Paid,2025-07-28,Card Payment,0
FEE_INST_001_000004,STU_INST_001_0001,Library Fee,2024-25,Q4,2025-09-21,7255,7255,0,Paid,2025-07-31,Cheque,0
FEE_INST_001_000005,STU_INST_001_0002,Lab Fee,2024-25,Q1,2025-10-26,6930,0,6930,Pending,,,125
FEE_INST_001_000006,STU_INST_001_0002,Sports Fee,2024-25,Q4,2025-08-14,5981,0,5981,Pending,,,0
FEE_INST_001_000007,STU_INST_001_0002,Activity Fee,2024-25,Q3,2025-09-22,4460,0,4460,Pending,,,404
FEE_INST_001_000008,STU_INST_001_0002,Admission Fee,2024-25,Q4,2025-12-03,10495,0,10495,Pending,,,0
FEE_INST_001_000009,STU_INST_001_0002,Exam Fee,2024-25,Q4,2025-11-04,4478,0,4478,Pending,,,315
FEE_INST_001_000010,STU_INST_001_0002,Library Fee,2024-25,Q2,2025-08-10,4960,0,4960,Pending,,,492
FEE_INST_001_000011,STU_INST_001_0002,Transport Fee,2024-25,Q4,2025-11-28,14113,0,14113,Pending,,,0
FEE_INST_001_000012,STU_INST_001_0003,Activity Fee,2024-25,Q2,2025-11-14,4731,2365,2366,Partial,2025-09-11,Cash,0
FEE_INST_001_000013,STU_INST_001_0003,Admission Fee,2024-25,Q4,2025-09-25,12336,6168,6168,Partial,2025-08-08,Cash,0
FEE_INST_001_000014,STU_INST_001_0003,Development Fee,2024-25,Q4,2025-12-05,5936,2968,2968,Partial,2025-06-15,UPI,0
FEE_INST_001_000015,STU_INST_001_0003,Annual Function Fee,2024-25,Q2,2025-12-06,3857,1928,1929,Partial,2025-08-26,UPI,243
FEE_INST_001_000016,STU_INST_001_0004,Tuition Fee,2024-25,Q3,2025-09-05,33110,33110,0,Paid,2025-06-07,Cash,0
FEE_INST_001_000017,STU_INST_001_0004,Lab Fee,2024-25,Q1,2025-10-27,3703,3703,0,Paid,2025-06-12,Cheque,0
FEE_INST_001_000018,STU_INST_001_0004,Computer Fee,2024-25,Q2,2025-12-06,2220,2220,0,Paid,2025-07-14,UPI,0
FEE_INST_001_000019,STU_INST_001_0004,Development Fee,2024-25,Q3,2025-11-24,4794,4794,0,Paid,2025-08-22,Card Payment,0
FEE_INST_001_000020,STU_INST_001_0005,Exam Fee,2024-25,Q4,2025-08-12,4306,4306,0,Paid,2025-06-28,Cash,0
FEE_INST_001_000021,STU_INST_001_0005,Annual Function Fee,2024-25,Q4,2025-12-03,3967,3967,0,Paid,2025-07-14,Cash,0
FEE_INST_001_000022,STU_INST_001_0005,Computer Fee,2024-25,Q3,2025-10-05,2101,2101,0,Paid,2025-06-21,UPI,0
FEE_INST_001_000023,STU_INST_001_0005,Lab Fee,2024-25,Q2,2025-10-29,3436,3436,0,Paid,2025-07-29,Card Payment,0
FEE_INST_001_000024,STU_INST_001_0005,Sports Fee,2024-25,Q2,2025-10-25,7927,7927,0,Paid,2025-09-07,Card Payment,0
FEE_INST_001_000025,STU_INST_001_0005,Activity Fee,2024-25,Q1,2025-09-22,7616,7616,0,Paid,2025-08-10,Online Banking,0
FEE_INST_001_000026,STU_INST_001_0005,Development Fee,2024-25,Q2,2025-12-14,3344,3344,0,Paid,2025-08-07,Cash,0
FEE_INST_001_000027,STU_INST_001_0006,Sports Fee,2024-25,Q2,2025-08-09,3968,3968,0,Paid,2025-06-08,Online Banking,0
FEE_INST_001_000028,STU_INST_001_0006,Exam Fee,2024-25,Q1,2025-10-16,6770,6770,0,Paid,2025-06-25,UPI,0
FEE_INST_001_000029,STU_INST_001_0006,Admission Fee,2024-25,Q1,2025-11-13,10329,10329,0,Paid,2025-08-14,DD,0
FEE_INST_001_000030,STU_INST_001_0006,Transport Fee,2024-25,Q4,2025-09-15,16834,16834,0,Paid,2025-07-23,Cash,0
FEE_INST_001_000031,STU_INST_001_0006,Development Fee,2024-25,Q2,2025-10-19,6825,6825,0,Paid,2025-06-21,Online Banking,0
FEE_INST_001_000032,STU_INST_001_0007,Exam Fee,2024-25,Q4,2025-12-04,6542,0,6542,Pending,,,0
FEE_INST_001_000033,STU_INST_001_0007,Activity Fee,2024-25,Q3,2025-10-23,7302,0,7302,Pending,,,0
