mapping_id,mentor_id,student_id,assigned_date,status,last_interaction,interaction_type,interaction_frequency,communication_mode,parent_contact_frequency,academic_support_provided,counseling_sessions
MAP_INST_001_000001,MEN_INST_001_001,STU_INST_001_0001,2024-11-11,Active,2025-08-26,Parent Meeting,Weekly,In Person,Monthly,True,0
MAP_INST_001_000002,MEN_INST_001_002,STU_INST_001_0002,2023-10-23,Active,2025-09-14,Academic Review,Monthly,Email,Fortnightly,True,1
MAP_INST_001_000003,MEN_INST_001_003,STU_INST_001_0003,2025-06-16,Active,2025-09-04,Progress Update,Bi-weekly,SMS,Monthly,False,1
MAP_INST_001_000004,MEN_INST_001_004,STU_INST_001_0004,2024-05-12,Active,2025-09-14,Parent Meeting,Bi-weekly,WhatsApp,Weekly,True,4
MAP_INST_001_000005,MEN_INST_001_005,STU_INST_001_0005,2024-02-01,Active,2025-08-26,Progress Update,Daily,Email,Fortnightly,True,4
MAP_INST_001_000006,MEN_INST_001_006,STU_INST_001_0006,2024-04-19,Active,2025-09-09,Academic Review,Daily,WhatsApp,Monthly,False,4
MAP_INST_001_000007,MEN_INST_001_007,STU_INST_001_0007,2025-04-19,Active,2025-09-08,Academic Review,Bi-weekly,WhatsApp,Weekly,True,2
MAP_INST_001_000008,MEN_INST_001_008,STU_INST_001_0008,2025-02-22,Active,2025-09-09,Behavioral Discussion,Daily,In Person,As Needed,True,1
MAP_INST_001_000009,MEN_INST_001_009,STU_INST_001_0009,2023-10-20,Active,2025-09-10,Behavioral Discussion,Daily,SMS,Fortnightly,False,0
MAP_INST_001_000010,MEN_INST_001_010,STU_INST_001_0010,2025-03-26,Active,2025-09-02,Academic Review,Daily,Phone Call,As Needed,True,0
MAP_INST_001_000011,MEN_INST_001_011,STU_INST_001_0011,2025-01-01,Active,2025-09-10,Progress Update,Monthly,Email,Weekly,False,4
MAP_INST_001_000012,MEN_INST_001_012,STU_INST_001_0012,2025-02-08,Active,2025-09-03,Academic Review,Weekly,Email,Weekly,False,1
MAP_INST_001_000013,MEN_INST_001_013,STU_INST_001_0013,2024-05-29,Active,2025-08-26,Counseling Session,Monthly,Email,Monthly,True,4
MAP_INST_001_000014,MEN_INST_001_014,STU_INST_001_0014,2025-01-28,Active,2025-09-03,Parent Meeting,Monthly,Phone Call,As Needed,True,4
MAP_INST_001_000015,MEN_INST_001_015,STU_INST_001_0015,2025-05-07,Active,2025-08-29,Parent Meeting,Bi-weekly,SMS,Fortnightly,False,2
MAP_INST_001_000016,MEN_INST_001_016,STU_INST_001_0016,2025-07-05,Active,2025-08-31,Academic Review,Monthly,Email,As Needed,True,0
MAP_INST_001_000017,MEN_INST_001_017,STU_INST_001_0017,2025-01-08,Active,2025-08-29,Parent Meeting,Monthly,SMS,Weekly,True,4
MAP_INST_001_000018,MEN_INST_001_018,STU_INST_001_0018,2023-11-09,Active,2025-09-08,Parent Meeting,Daily,In Person,Weekly,True,0
MAP_INST_001_000019,MEN_INST_001_019,STU_INST_001_0019,2025-02-01,Active,2025-09-15,Progress Update,Bi-weekly,Email,Monthly,False,2
MAP_INST_001_000020,MEN_INST_001_020,STU_INST_001_0020,2023-11-28,Active,2025-09-09,Counseling Session,Weekly,In Person,Fortnightly,False,4
MAP_INST_001_000021,MEN_INST_001_021,STU_INST_001_0021,2025-02-25,Active,2025-09-03,Behavioral Discussion,Bi-weekly,Phone Call,Weekly,True,5
MAP_INST_001_000022,MEN_INST_001_022,STU_INST_001_0022,2025-03-16,Active,2025-09-15,Progress Update,Monthly,Phone Call,Monthly,True,0
MAP_INST_001_000023,MEN_INST_001_023,STU_INST_001_0023,2024-06-07,Active,2025-09-13,Progress Update,Bi-weekly,WhatsApp,Weekly,True,3
MAP_INST_001_000024,MEN_INST_001_024,STU_INST_001_0024,2024-09-17,Active,2025-09-16,Progress Update,Bi-weekly,In Person,As Needed,False,0
MAP_INST_001_000025,MEN_INST_001_001,STU_INST_001_0025,2025-08-17,Active,2025-09-08,Parent Meeting,Bi-weekly,Phone Call,Monthly,False,0
MAP_INST_001_000026,MEN_INST_001_002,STU_INST_001_0026,2023-11-10,Active,2025-08-27,Behavioral Discussion,Bi-weekly,SMS,Weekly,True,4
MAP_INST_001_000027,MEN_INST_001_003,STU_INST_001_0027,2024-07-25,Active,2025-09-16,Behavioral Discussion,Weekly,In Person,Weekly,True,1
MAP_INST_001_000028,MEN_INST_001_004,STU_INST_001_0028,2024-01-12,Active,2025-08-31,Behavioral Discussion,Weekly,Email,Fortnightly,True,5
MAP_INST_001_000029,MEN_INST_001_005,STU_INST_001_0029,2023-12-03,Active,2025-09-09,Parent Meeting,Monthly,Email,Weekly,True,3
MAP_INST_001_000030,MEN_INST_001_006,STU_INST_001_0030,2024-08-02,Active,2025-09-16,Progress Update,Daily,SMS,As Needed,False,4
MAP_INST_001_000031,MEN_INST_001_007,STU_INST_001_0031,2023-09-24,Active,2025-08-31,Progress Update,Weekly,WhatsApp,Fortnightly,False,3
MAP_INST_001_000032,MEN_INST_001_008,STU_INST_001_0032,2024-01-31,Active,2025-08-27,Behavioral Discussion,Monthly,Phone Call,Weekly,False,4
MAP_INST_001_000033,MEN_INST_001_009,STU_INST_001_0033,2023-11-03,Active,2025-09-06,Academic Review,Monthly,In Person,Fortnightly,True,1
MAP_INST_001_000034,MEN_INST_001_010,STU_INST_001_0034,2024-01-02,Active,2025-08-26,Counseling Session,Daily,WhatsApp,Monthly,True,0
MAP_INST_001_000035,MEN_INST_001_011,STU_INST_001_0035,2023-09-25,Active,2025-09-05,Academic Review,Monthly,Email,As Needed,False,2
MAP_INST_001_000036,MEN_INST_001_012,STU_INST_001_0036,2023-11-07,Active,2025-08-28,Academic Review,Bi-weekly,SMS,As Needed,True,0
MAP_INST_001_000037,MEN_INST_001_013,STU_INST_001_0037,2025-05-25,Active,2025-08-26,Progress Update,Monthly,In Person,Monthly,False,5
MAP_INST_001_000038,MEN_INST_001_014,STU_INST_001_0038,2025-06-15,Active,2025-08-31,Academic Review,Monthly,Email,Monthly,False,4
MAP_INST_001_000039,MEN_INST_001_015,STU_INST_001_0039,2025-08-03,Active,2025-08-29,Parent Meeting,Bi-weekly,WhatsApp,Fortnightly,False,4
MAP_INST_001_000040,MEN_INST_001_016,STU_INST_001_0040,2024-08-16,Active,2025-09-07,Progress Update,Bi-weekly,SMS,Monthly,True,4
MAP_INST_001_000041,MEN_INST_001_017,STU_INST_001_0041,2024-10-30,Active,2025-08-26,Parent Meeting,Monthly,WhatsApp,Monthly,False,0
MAP_INST_001_000042,MEN_INST_001_018,STU_INST_001_0042,2025-05-29,Active,2025-09-14,Behavioral Discussion,Monthly,SMS,Monthly,True,1
MAP_INST_001_000043,MEN_INST_001_019,STU_INST_001_0043,2024-09-10,Active,2025-09-04,Counseling Session,Monthly,Phone Call,Weekly,True,5
MAP_INST_001_000044,MEN_INST_001_020,STU_INST_001_0044,2025-07-10,Active,2025-08-31,Academic Review,Daily,WhatsApp,Monthly,True,1
