assessment_id,student_id,subject,assessment_type,date,max_marks,obtained_marks,percentage,grade,term,remarks
ASS_INST_002_000001,STU_INST_002_0001,Hindi,Viva Voce,2025-05-27,50,15,30.0,D,Second Term,Needs Improvement
ASS_INST_002_000002,STU_INST_002_0001,Science,Quiz,2025-07-22,20,16,80.3,A2,Final Term,Excellent
ASS_INST_002_000003,STU_INST_002_0001,Science,Viva Voce,2025-05-19,25,12,51.3,C1,Final Term,Satisfactory
ASS_INST_002_000004,STU_INST_002_0001,Physics,Half Yearly Exam,2025-05-30,100,65,65.4,B2,First Term,Good
ASS_INST_002_000005,STU_INST_002_0001,Sanskrit,Quiz,2025-06-23,100,55,55.6,C1,Final Term,Satisfactory
ASS_INST_002_000006,STU_INST_002_0001,Science,Unit Test,2025-06-24,50,28,58.0,C1,Final Term,Satisfactory
ASS_INST_002_000007,STU_INST_002_0001,Sanskrit,Internal Assessment,2025-08-27,80,23,29.6,D,First Term,Needs Improvement
ASS_INST_002_000008,STU_INST_002_0001,Sanskrit,Internal Assessment,2025-05-27,50,23,47.2,C2,First Term,Needs Improvement
ASS_INST_002_000009,STU_INST_002_0001,Accountancy,Half Yearly Exam,2025-08-28,20,5,28.9,D,First Term,Needs Improvement
ASS_INST_002_000010,STU_INST_002_0001,Science,Internal Assessment,2025-08-19,20,7,40.0,D,Final Term,Needs Improvement
ASS_INST_002_000011,STU_INST_002_0001,English,Project Work,2025-07-07,25,12,48.8,C2,Final Term,Needs Improvement
ASS_INST_002_000012,STU_INST_002_0001,Accountancy,Unit Test,2025-07-04,20,6,31.5,D,Final Term,Needs Improvement
ASS_INST_002_000013,STU_INST_002_0001,Hindi,Monthly Test,2025-08-24,20,4,25.0,D,Final Term,Needs Improvement
ASS_INST_002_000014,STU_INST_002_0001,Mathematics,Viva Voce,2025-09-08,100,26,26.3,D,Final Term,Needs Improvement
ASS_INST_002_000015,STU_INST_002_0002,Accountancy,Viva Voce,2025-08-08,25,15,60.2,B2,First Term,Good
ASS_INST_002_000016,STU_INST_002_0002,Sanskrit,Monthly Test,2025-07-31,50,21,43.1,C2,First Term,Needs Improvement
ASS_INST_002_000017,STU_INST_002_0002,Science,Project Work,2025-08-11,80,20,25.6,D,First Term,Needs Improvement
ASS_INST_002_000018,STU_INST_002_0002,Accountancy,Project Work,2025-06-22,80,38,47.7,C2,Final Term,Needs Improvement
ASS_INST_002_000019,STU_INST_002_0002,Sanskrit,Half Yearly Exam,2025-07-17,20,12,61.5,B2,First Term,Good
ASS_INST_002_000020,STU_INST_002_0002,Physics,Practical Exam,2025-09-07,100,46,46.5,C2,Second Term,Needs Improvement
ASS_INST_002_000021,STU_INST_002_0002,Chemistry,Assignment,2025-06-11,20,4,22.9,D,Final Term,Needs Improvement
ASS_INST_002_000022,STU_INST_002_0002,Computer Science,Assignment,2025-08-27,80,36,45.2,C2,First Term,Needs Improvement
ASS_INST_002_000023,STU_INST_002_0002,Sanskrit,Quiz,2025-08-31,25,8,33.9,D,Second Term,Needs Improvement
ASS_INST_002_000024,STU_INST_002_0002,Biology,Practical Exam,2025-05-29,50,26,52.8,C1,Second Term,Satisfactory
ASS_INST_002_000025,STU_INST_002_0002,English,Quiz,2025-07-31,50,20,41.6,C2,Second Term,Needs Improvement
ASS_INST_002_000026,STU_INST_002_0002,English,Quiz,2025-07-27,100,52,52.1,C1,First Term,Satisfactory
ASS_INST_002_000027,STU_INST_002_0003,Chemistry,Viva Voce,2025-07-11,20,7,40.0,D,Second Term,Needs Improvement
ASS_INST_002_000028,STU_INST_002_0003,Physics,Final Exam,2025-06-14,25,18,72.3,B1,Final Term,Very Good
ASS_INST_002_000029,STU_INST_002_0003,Biology,Practical Exam,2025-06-14,25,16,66.2,B2,Final Term,Good
ASS_INST_002_000030,STU_INST_002_0003,Biology,Internal Assessment,2025-08-24,25,13,55.0,C1,Second Term,Satisfactory
ASS_INST_002_000031,STU_INST_002_0003,Science,Viva Voce,2025-05-26,80,57,72.0,B1,First Term,Very Good
ASS_INST_002_000032,STU_INST_002_0003,Social Studies,Assignment,2025-07-17,25,16,65.3,B2,First Term,Good
ASS_INST_002_000033,STU_INST_002_0003,Computer Science,Unit Test,2025-06-02,20,13,69.7,B2,Second Term,Good
ASS_INST_002_000034,STU_INST_002_0003,English,Final Exam,2025-06-07,50,26,53.1,C1,First Term,Satisfactory
ASS_INST_002_000035,STU_INST_002_0003,Accountancy,Monthly Test,2025-06-06,100,73,73.5,B1,Final Term,Very Good
ASS_INST_002_000036,STU_INST_002_0003,Chemistry,Internal Assessment,2025-07-09,80,30,37.5,D,Second Term,Needs Improvement
ASS_INST_002_000037,STU_INST_002_0003,Economics,Practical Exam,2025-05-28,50,33,67.2,B2,Second Term,Good
ASS_INST_002_000038,STU_INST_002_0003,Science,Quiz,2025-08-06,80,56,70.0,B1,Second Term,Very Good
ASS_INST_002_000039,STU_INST_002_0003,Chemistry,Viva Voce,2025-08-26,20,20,100.0,A1,First Term,Outstanding
ASS_INST_002_000040,STU_INST_002_0004,Chemistry,Half Yearly Exam,2025-08-05,20,8,42.3,C2,Final Term,Needs Improvement
ASS_INST_002_000041,STU_INST_002_0004,Computer Science,Project Work,2025-06-08,25,18,75.7,B1,Final Term,Very Good
ASS_INST_002_000042,STU_INST_002_0004,Hindi,Internal Assessment,2025-07-04,20,13,67.4,B2,Final Term,Good
ASS_INST_002_000043,STU_INST_002_0004,Accountancy,Viva Voce,2025-08-01,80,35,44.8,C2,First Term,Needs Improvement
ASS_INST_002_000044,STU_INST_002_0004,Physics,Quiz,2025-07-01,50,23,47.2,C2,First Term,Needs Improvement
ASS_INST_002_000045,STU_INST_002_0004,Science,Project Work,2025-07-01,20,5,27.5,D,First Term,Needs Improvement
ASS_INST_002_000046,STU_INST_002_0004,Science,Internal Assessment,2025-06-23,50,18,36.4,D,Second Term,Needs Improvement
ASS_INST_002_000047,STU_INST_002_0004,Chemistry,Monthly Test,2025-05-29,25,12,51.2,C1,Final Term,Satisfactory
ASS_INST_002_000048,STU_INST_002_0004,Social Studies,Viva Voce,2025-07-03,100,41,41.2,C2,First Term,Needs Improvement
ASS_INST_002_000049,STU_INST_002_0004,Computer Science,Final Exam,2025-09-01,50,31,62.9,B2,First Term,Good
ASS_INST_002_000050,STU_INST_002_0004,Social Studies,Viva Voce,2025-05-29,20,11,58.8,C1,First Term,Satisfactory
ASS_INST_002_000051,STU_INST_002_0004,Accountancy,Quiz,2025-07-15,25,13,52.3,C1,Final Term,Satisfactory
ASS_INST_002_000052,STU_INST_002_0004,Accountancy,Half Yearly Exam,2025-07-21,20,11,59.3,C1,Second Term,Satisfactory
ASS_INST_002_000053,STU_INST_002_0005,Accountancy,Internal Assessment,2025-06-06,50,27,55.1,C1,Final Term,Satisfactory
ASS_INST_002_000054,STU_INST_002_0005,Science,Final Exam,2025-07-31,50,24,48.7,C2,Final Term,Needs Improvement
ASS_INST_002_000055,STU_INST_002_0005,Science,Viva Voce,2025-07-10,20,7,35.0,D,Final Term,Needs Improvement
ASS_INST_002_000056,STU_INST_002_0005,Science,Project Work,2025-05-31,80,65,81.5,A2,First Term,Excellent
ASS_INST_002_000057,STU_INST_002_0005,Computer Science,Final Exam,2025-08-10,80,48,60.1,B2,First Term,Good
ASS_INST_002_000058,STU_INST_002_0005,Mathematics,Internal Assessment,2025-08-10,100,54,54.9,C1,First Term,Satisfactory
ASS_INST_002_000059,STU_INST_002_0005,Social Studies,Unit Test,2025-06-07,20,6,34.5,D,First Term,Needs Improvement
ASS_INST_002_000060,STU_INST_002_0005,Computer Science,Monthly Test,2025-06-05,25,22,92.0,A1,First Term,Outstanding
ASS_INST_002_000061,STU_INST_002_0005,Science,Final Exam,2025-07-05,80,28,35.8,D,First Term,Needs Improvement
ASS_INST_002_000062,STU_INST_002_0005,Science,Unit Test,2025-09-05,100,49,49.5,C2,Final Term,Needs Improvement
ASS_INST_002_000063,STU_INST_002_0005,Physics,Final Exam,2025-07-12,20,10,50.2,C1,First Term,Satisfactory
ASS_INST_002_000064,STU_INST_002_0005,Computer Science,Final Exam,2025-05-22,100,24,24.4,D,First Term,Needs Improvement
ASS_INST_002_000065,STU_INST_002_0006,Computer Science,Final Exam,2025-08-02,50,21,43.3,C2,First Term,Needs Improvement
ASS_INST_002_000066,STU_INST_002_0006,Computer Science,Half Yearly Exam,2025-06-02,100,41,41.4,C2,Second Term,Needs Improvement
ASS_INST_002_000067,STU_INST_002_0006,Computer Science,Assignment,2025-08-21,80,12,16.1,D,First Term,Needs Improvement
ASS_INST_002_000068,STU_INST_002_0006,Science,Project Work,2025-07-21,100,48,48.5,C2,Final Term,Needs Improvement
ASS_INST_002_000069,STU_INST_002_0006,Computer Science,Practical Exam,2025-06-12,25,4,17.9,D,Final Term,Needs Improvement
ASS_INST_002_000070,STU_INST_002_0006,Economics,Project Work,2025-05-24,20,5,29.6,D,First Term,Needs Improvement
ASS_INST_002_000071,STU_INST_002_0006,Science,Quiz,2025-09-08,80,17,21.3,D,Final Term,Needs Improvement
ASS_INST_002_000072,STU_INST_002_0006,Mathematics,Internal Assessment,2025-08-31,20,9,46.3,C2,Final Term,Needs Improvement
ASS_INST_002_000073,STU_INST_002_0006,Social Studies,Final Exam,2025-06-26,80,35,44.4,C2,First Term,Needs Improvement
ASS_INST_002_000074,STU_INST_002_0006,Sanskrit,Unit Test,2025-07-15,20,3,15.0,D,First Term,Needs Improvement
ASS_INST_002_000075,STU_INST_002_0006,English,Monthly Test,2025-07-27,100,24,24.7,D,First Term,Needs Improvement
ASS_INST_002_000076,STU_INST_002_0006,Social Studies,Project Work,2025-07-20,25,6,24.9,D,Second Term,Needs Improvement
ASS_INST_002_000077,STU_INST_002_0006,Computer Science,Practical Exam,2025-09-02,100,47,47.1,C2,Second Term,Needs Improvement
ASS_INST_002_000078,STU_INST_002_0007,Physics,Monthly Test,2025-07-02,25,3,13.9,D,First Term,Needs Improvement
ASS_INST_002_000079,STU_INST_002_0007,Biology,Half Yearly Exam,2025-08-12,50,12,24.6,D,Second Term,Needs Improvement
ASS_INST_002_000080,STU_INST_002_0007,Biology,Practical Exam,2025-08-26,50,11,22.6,D,First Term,Needs Improvement
ASS_INST_002_000081,STU_INST_002_0007,Physics,Monthly Test,2025-07-31,50,10,20.9,D,Second Term,Needs Improvement
ASS_INST_002_000082,STU_INST_002_0007,English,Half Yearly Exam,2025-08-31,80,46,57.8,C1,First Term,Satisfactory
ASS_INST_002_000083,STU_INST_002_0007,English,Half Yearly Exam,2025-08-08,20,2,14.6,D,First Term,Needs Improvement
ASS_INST_002_000084,STU_INST_002_0007,Biology,Project Work,2025-06-28,100,22,22.7,D,Final Term,Needs Improvement
ASS_INST_002_000085,STU_INST_002_0007,Chemistry,Monthly Test,2025-06-01,100,33,33.3,D,Second Term,Needs Improvement
ASS_INST_002_000086,STU_INST_002_0007,Social Studies,Practical Exam,2025-07-25,100,19,19.2,D,First Term,Needs Improvement
ASS_INST_002_000087,STU_INST_002_0007,Sanskrit,Unit Test,2025-08-02,25,4,16.2,D,Second Term,Needs Improvement
ASS_INST_002_000088,STU_INST_002_0007,Science,Monthly Test,2025-06-14,25,8,32.9,D,First Term,Needs Improvement
ASS_INST_002_000089,STU_INST_002_0007,Science,Viva Voce,2025-08-07,20,8,40.9,C2,Second Term,Needs Improvement
ASS_INST_002_000090,STU_INST_002_0007,Accountancy,Assignment,2025-08-28,100,50,50.3,C1,First Term,Satisfactory
ASS_INST_002_000091,STU_INST_002_0008,Social Studies,Final Exam,2025-07-23,50,21,43.3,C2,Final Term,Needs Improvement
ASS_INST_002_000092,STU_INST_002_0008,Computer Science,Half Yearly Exam,2025-06-17,50,16,33.0,D,First Term,Needs Improvement
