attendance_id,student_id,date,status,period_1,period_2,period_3,period_4,period_5,period_6,period_7,remarks
ATT_INST_002_000001,STU_INST_002_0001,2025-08-18,Present,True,True,True,True,True,True,True,
ATT_INST_002_000002,STU_INST_002_0001,2025-08-19,Present,True,True,True,True,True,False,True,
ATT_INST_002_000003,STU_INST_002_0001,2025-08-20,Excused,False,False,False,False,False,False,False,No Reason Given
ATT_INST_002_000004,STU_INST_002_0001,2025-08-21,Absent,False,False,False,False,False,False,False,Fever
ATT_INST_002_000005,STU_INST_002_0001,2025-08-22,Present,True,True,True,True,True,True,True,
ATT_INST_002_000006,STU_INST_002_0001,2025-08-25,Absent,False,False,False,False,False,False,False,No Reason Given
ATT_INST_002_000007,STU_INST_002_0001,2025-08-27,Present,True,True,True,True,True,True,True,
ATT_INST_002_000008,STU_INST_002_0001,2025-08-28,Present,True,True,True,True,True,True,True,
ATT_INST_002_000009,STU_INST_002_0001,2025-08-29,Present,True,True,True,True,True,True,True,
ATT_INST_002_000010,STU_INST_002_0001,2025-09-01,Present,True,True,True,True,True,True,True,
ATT_INST_002_000011,STU_INST_002_0001,2025-09-02,Present,True,True,False,True,True,True,True,
ATT_INST_002_000012,STU_INST_002_0001,2025-09-03,Present,True,True,True,True,True,True,False,
ATT_INST_002_000013,STU_INST_002_0001,2025-09-04,Present,True,True,True,True,True,True,True,
ATT_INST_002_000014,STU_INST_002_0001,2025-09-05,Absent,False,False,False,False,False,False,False,No Reason Given
ATT_INST_002_000015,STU_INST_002_0001,2025-09-08,Present,True,True,True,True,True,True,True,
ATT_INST_002_000016,STU_INST_002_0001,2025-09-09,Present,True,True,True,True,True,True,True,
ATT_INST_002_000017,STU_INST_002_0001,2025-09-10,Present,True,True,True,True,True,True,True,
ATT_INST_002_000018,STU_INST_002_0001,2025-09-11,Present,True,True,True,True,False,True,True,
ATT_INST_002_000019,STU_INST_002_0001,2025-09-12,Present,True,True,True,True,True,True,True,
ATT_INST_002_000020,STU_INST_002_0001,2025-09-15,Present,True,True,True,True,True,True,True,
ATT_INST_002_000021,STU_INST_002_0002,2025-08-18,Present,True,True,True,False,True,True,True,
ATT_INST_002_000022,STU_INST_002_0002,2025-08-19,Present,True,False,True,True,True,True,True,
ATT_INST_002_000023,STU_INST_002_0002,2025-08-20,Present,True,False,True,True,True,True,True,
ATT_INST_002_000024,STU_INST_002_0002,2025-08-21,Present,True,True,True,False,True,True,True,
ATT_INST_002_000025,STU_INST_002_0002,2025-08-22,Present,True,True,True,True,True,True,True,
ATT_INST_002_000026,STU_INST_002_0002,2025-08-25,Present,True,True,True,True,True,False,True,
ATT_INST_002_000027,STU_INST_002_0002,2025-08-27,Present,True,True,True,True,True,True,False,
ATT_INST_002_000028,STU_INST_002_0002,2025-08-28,Present,True,True,True,True,True,True,True,
ATT_INST_002_000029,STU_INST_002_0002,2025-08-29,Present,True,True,True,True,True,True,True,
ATT_INST_002_000030,STU_INST_002_0002,2025-09-01,Present,True,True,True,True,True,True,False,
ATT_INST_002_000031,STU_INST_002_0002,2025-09-02,Present,True,True,True,True,True,True,True,
ATT_INST_002_000032,STU_INST_002_0002,2025-09-03,Present,True,True,True,True,True,True,True,
ATT_INST_002_000033,STU_INST_002_0002,2025-09-04,Present,True,True,True,True,True,True,True,
ATT_INST_002_000034,STU_INST_002_0002,2025-09-05,Half Day,False,False,False,False,False,False,False,No Reason Given
ATT_INST_002_000035,STU_INST_002_0002,2025-09-08,Present,True,True,True,True,True,True,True,
ATT_INST_002_000036,STU_INST_002_0002,2025-09-09,Present,True,True,True,True,True,True,True,
ATT_INST_002_000037,STU_INST_002_0002,2025-09-10,Present,True,True,True,True,True,True,True,
ATT_INST_002_000038,STU_INST_002_0002,2025-09-11,Present,True,True,True,True,True,True,True,
ATT_INST_002_000039,STU_INST_002_0002,2025-09-12,Present,True,True,True,True,True,True,True,
ATT_INST_002_000040,STU_INST_002_0002,2025-09-15,Present,True,True,True,True,True,False,True,
ATT_INST_002_000041,STU_INST_002_0003,2025-08-18,Present,True,True,True,True,True,True,True,
ATT_INST_002_000042,STU_INST_002_0003,2025-08-19,Present,True,True,True,True,True,True,True,
ATT_INST_002_000043,STU_INST_002_0003,2025-08-20,Absent,False,False,False,False,False,False,False,Family Function
ATT_INST_002_000044,STU_INST_002_0003,2025-08-21,Present,True,True,True,True,True,True,True,
ATT_INST_002_000045,STU_INST_002_0003,2025-08-22,Present,True,True,True,True,True,True,True,
ATT_INST_002_000046,STU_INST_002_0003,2025-08-25,Present,True,True,True,True,True,True,True,
ATT_INST_002_000047,STU_INST_002_0003,2025-08-27,Present,True,True,True,False,True,True,True,
ATT_INST_002_000048,STU_INST_002_0003,2025-08-28,Present,True,True,True,True,True,True,True,
ATT_INST_002_000049,STU_INST_002_0003,2025-08-29,Present,True,True,True,True,True,True,True,
ATT_INST_002_000050,STU_INST_002_0003,2025-09-01,Present,True,True,True,True,True,True,True,
ATT_INST_002_000051,STU_INST_002_0003,2025-09-02,Late,False,False,False,False,False,False,False,Fever
ATT_INST_002_000052,STU_INST_002_0003,2025-09-03,Present,True,True,True,True,True,True,True,
ATT_INST_002_000053,STU_INST_002_0003,2025-09-04,Present,True,True,True,True,True,True,True,
ATT_INST_002_000054,STU_INST_002_0003,2025-09-05,Present,True,True,True,True,False,True,True,
ATT_INST_002_000055,STU_INST_002_0003,2025-09-08,Present,True,True,True,True,True,True,True,
