incident_id,student_id,date,incident_type,severity,description,reported_by,action_taken,parent_informed,follow_up_required,resolved,counselor_involved
BEH_INST_002_000001,STU_INST_002_0001,2025-08-02,Bullying,Major,Student involved in bullying during class hours,Discipline Incharge Vihaan Patel,Written Warning,True,True,False,True
BEH_INST_002_000002,STU_INST_002_0002,2025-03-15,Classroom Disruption,Major,Student involved in classroom disruption during assembly,Principal Aryan Bhardwaj,Behavior Contract,True,False,False,False
BEH_INST_002_000003,STU_INST_002_0003,2025-04-04,Damage to Property,Moderate,Student involved in damage to property during class hours,Subject Teacher Advait Dave,Apology Letter,False,True,True,False
BEH_INST_002_000004,STU_INST_002_0003,2025-08-01,Fighting,Minor,Student involved in fighting during assembly,Class Teacher Ravi Shetty,Community Service,False,False,False,True
BEH_INST_002_000005,STU_INST_002_0003,2025-03-23,Fighting,Severe,Student involved in fighting during class hours,Principal Ishaan Dubey,Parent Meeting,False,True,True,False
BEH_INST_002_000006,STU_INST_002_0003,2025-03-01,Uniform Violation,Severe,Student involved in uniform violation during assembly,Discipline Incharge Riya Agarwal,Behavior Contract,False,False,True,False
BEH_INST_002_000007,STU_INST_002_0003,2025-06-29,Bullying,Severe,Student involved in bullying during class hours,Principal Raj Reddy,Written Warning,True,False,True,False
BEH_INST_002_000008,STU_INST_002_0004,2025-08-06,Disrespect to Teacher,Major,Student involved in disrespect to teacher during assembly,Discipline Incharge Isha Raman,Parent Meeting,True,False,False,False
BEH_INST_002_000009,STU_INST_002_0006,2025-07-18,Late Coming,Severe,Student involved in late coming during break time,Discipline Incharge Manisha Jadhav,Apology Letter,False,False,True,False
BEH_INST_002_000010,STU_INST_002_0006,2025-07-14,Classroom Disruption,Severe,Student involved in classroom disruption during sports period,Discipline Incharge Aadhya Kamath,Suspension,True,True,False,False
BEH_INST_002_000011,STU_INST_002_0006,2025-03-11,Bullying,Major,Student involved in bullying during sports period,Discipline Incharge Tanya Pawar,Parent Meeting,False,False,False,False
