fee_id,student_id,fee_type,academic_year,quarter,due_date,amount_due,amount_paid,balance,payment_status,last_payment_date,payment_method,late_fee
FEE_INST_002_000001,STU_INST_002_0001,Activity Fee,2024-25,Q1,2025-09-21,5642,2821,2821,Partial,2025-08-30,DD,0
FEE_INST_002_000002,STU_INST_002_0001,Library Fee,2024-25,Q2,2025-09-26,5820,2910,2910,Partial,2025-09-14,Card Payment,445
FEE_INST_002_000003,STU_INST_002_0001,Development Fee,2024-25,Q4,2025-10-25,4971,2485,2486,Partial,2025-08-08,Cheque,0
FEE_INST_002_000004,STU_INST_002_0001,Annual Function Fee,2024-25,Q1,2025-11-11,3999,1999,2000,Partial,2025-08-17,UPI,119
FEE_INST_002_000005,STU_INST_002_0001,Tuition Fee,2024-25,Q3,2025-10-20,32074,16037,16037,Partial,2025-07-18,Cash,201
FEE_INST_002_000006,STU_INST_002_0002,Sports Fee,2024-25,Q3,2025-09-17,4232,0,4232,Pending,,,335
FEE_INST_002_000007,STU_INST_002_0002,Activity Fee,2024-25,Q1,2025-12-12,3860,0,3860,Pending,,,481
FEE_INST_002_000008,STU_INST_002_0002,Development Fee,2024-25,Q3,2025-10-05,2473,0,2473,Pending,,,0
FEE_INST_002_000009,STU_INST_002_0002,Exam Fee,2024-25,Q1,2025-10-25,6316,0,6316,Pending,,,0
FEE_INST_002_000010,STU_INST_002_0002,Library Fee,2024-25,Q3,2025-12-14,6746,0,6746,Pending,,,0
FEE_INST_002_000011,STU_INST_002_0002,Annual Function Fee,2024-25,Q4,2025-08-29,2543,0,2543,Pending,,,0
FEE_INST_002_000012,STU_INST_002_0003,Admission Fee,2024-25,Q4,2025-11-28,10636,5318,5318,Partial,2025-06-06,DD,0
FEE_INST_002_000013,STU_INST_002_0003,Library Fee,2024-25,Q3,2025-11-01,7350,3675,3675,Partial,2025-06-28,DD,189
FEE_INST_002_000014,STU_INST_002_0003,Development Fee,2024-25,Q4,2025-09-23,6642,3321,3321,Partial,2025-08-21,Cash,0
FEE_INST_002_000015,STU_INST_002_0003,Tuition Fee,2024-25,Q2,2025-11-08,44558,22279,22279,Partial,2025-06-28,Card Payment,0
FEE_INST_002_000016,STU_INST_002_0003,Sports Fee,2024-25,Q4,2025-11-09,7127,3563,3564,Partial,2025-08-14,Cheque,0
FEE_INST_002_000017,STU_INST_002_0004,Activity Fee,2024-25,Q2,2025-12-11,2919,2919,0,Paid,2025-09-07,Cheque,0
FEE_INST_002_000018,STU_INST_002_0004,Lab Fee,2024-25,Q2,2025-09-29,2753,2753,0,Paid,2025-08-07,Cash,0
FEE_INST_002_000019,STU_INST_002_0004,Tuition Fee,2024-25,Q4,2025-11-27,27334,27334,0,Paid,2025-07-03,Card Payment,0
FEE_INST_002_000020,STU_INST_002_0004,Admission Fee,2024-25,Q3,2025-10-18,10723,10723,0,Paid,2025-07-03,Cash,0
FEE_INST_002_000021,STU_INST_002_0004,Library Fee,2024-25,Q1,2025-10-24,2871,2871,0,Paid,2025-07-21,Cheque,0
FEE_INST_002_000022,STU_INST_002_0004,Sports Fee,2024-25,Q2,2025-10-17,6968,6968,0,Paid,2025-05-24,Cheque,0
FEE_INST_002_000023,STU_INST_002_0004,Exam Fee,2024-25,Q3,2025-08-09,2719,2719,0,Paid,2025-06-18,Cash,0
FEE_INST_002_000024,STU_INST_002_0005,Lab Fee,2024-25,Q2,2025-10-15,5926,5926,0,Paid,2025-08-23,DD,0
FEE_INST_002_000025,STU_INST_002_0005,Sports Fee,2024-25,Q2,2025-09-09,3893,3893,0,Paid,2025-06-01,DD,0
FEE_INST_002_000026,STU_INST_002_0005,Computer Fee,2024-25,Q1,2025-08-05,4981,4981,0,Paid,2025-08-20,Cheque,0
FEE_INST_002_000027,STU_INST_002_0005,Exam Fee,2024-25,Q2,2025-10-09,5902,5902,0,Paid,2025-06-29,UPI,0
FEE_INST_002_000028,STU_INST_002_0005,Development Fee,2024-25,Q3,2025-08-14,5565,5565,0,Paid,2025-08-06,UPI,0
FEE_INST_002_000029,STU_INST_002_0005,Admission Fee,2024-25,Q1,2025-10-07,5831,5831,0,Paid,2025-07-25,Cash,0
FEE_INST_002_000030,STU_INST_002_0005,Transport Fee,2024-25,Q1,2025-12-11,14386,14386,0,Paid,2025-07-17,UPI,0
FEE_INST_002_000031,STU_INST_002_0006,Lab Fee,2024-25,Q2,2025-11-10,2420,1210,1210,Partial,2025-05-30,DD,0
FEE_INST_002_000032,STU_INST_002_0006,Admission Fee,2024-25,Q4,2025-10-05,9447,4723,4724,Partial,2025-07-26,Online Banking,135
FEE_INST_002_000033,STU_INST_002_0006,Library Fee,2024-25,Q4,2025-12-15,5998,2999,2999,Partial,2025-07-30,DD,116
FEE_INST_002_000034,STU_INST_002_0006,Activity Fee,2024-25,Q2,2025-09-30,6375,3187,3188,Partial,2025-07-13,DD,0
FEE_INST_002_000035,STU_INST_002_0007,Library Fee,2024-25,Q2,2025-08-07,2688,0,2688,Pending,,,0
FEE_INST_002_000036,STU_INST_002_0007,Development Fee,2024-25,Q1,2025-09-13,4041,0,4041,Pending,,,0
FEE_INST_002_000037,STU_INST_002_0007,Transport Fee,2024-25,Q2,2025-11-29,8110,0,8110,Pending,,,0
FEE_INST_002_000038,STU_INST_002_0007,Activity Fee,2024-25,Q4,2025-10-05,3769,0,3769,Pending,,,0
FEE_INST_002_000039,STU_INST_002_0007,Annual Function Fee,2024-25,Q2,2025-08-13,6715,0,6715,Pending,,,150
FEE_INST_002_000040,STU_INST_002_0007,Sports Fee,2024-25,Q2,2025-08-11,3395,0,3395,Pending,,,0
FEE_INST_002_000041,STU_INST_002_0007,Lab Fee,2024-25,Q4,2025-09-28,3371,0,3371,Pending,,,0
FEE_INST_002_000042,STU_INST_002_0008,Admission Fee,2024-25,Q3,2025-11-13,7041,7041,0,Paid,2025-05-28,DD,0
FEE_INST_002_000043,STU_INST_002_0008,Exam Fee,2024-25,Q2,2025-09-03,7899,7899,0,Paid,2025-07-01,Card Payment,0
FEE_INST_002_000044,STU_INST_002_0008,Annual Function Fee,2024-25,Q2,2025-09-28,2838,2838,0,Paid,2025-05-30,Online Banking,0
FEE_INST_002_000045,STU_INST_002_0008,Transport Fee,2024-25,Q3,2025-08-24,9996,9996,0,Paid,2025-07-28,Online Banking,0
FEE_INST_002_000046,STU_INST_002_0008,Sports Fee,2024-25,Q3,2025-08-25,3014,3014,0,Paid,2025-09-12,Online Banking,0
FEE_INST_002_000047,STU_INST_002_0009,Computer Fee,2024-25,Q4,2025-10-05,7858,7858,0,Paid,2025-06-22,DD,0
FEE_INST_002_000048,STU_INST_002_0009,Lab Fee,2024-25,Q4,2025-10-02,6024,6024,0,Paid,2025-08-15,Cheque,0
FEE_INST_002_000049,STU_INST_002_0009,Activity Fee,2024-25,Q2,2025-08-03,5949,5949,0,Paid,2025-06-04,Cash,0
FEE_INST_002_000050,STU_INST_002_0009,Annual Function Fee,2024-25,Q1,2025-11-20,5857,5857,0,Paid,2025-08-14,Cash,0
FEE_INST_002_000051,STU_INST_002_0009,Exam Fee,2024-25,Q2,2025-08-06,6039,6039,0,Paid,2025-07-17,Card Payment,0
FEE_INST_002_000052,STU_INST_002_0009,Admission Fee,2024-25,Q1,2025-10-15,6845,6845,0,Paid,2025-09-01,Online Banking,0
FEE_INST_002_000053,STU_INST_002_0010,Library Fee,2024-25,Q1,2025-08-17,7610,7610,0,Paid,2025-05-29,Cheque,0
FEE_INST_002_000054,STU_INST_002_0010,Sports Fee,2024-25,Q1,2025-09-03,3109,3109,0,Paid,2025-07-17,DD,0
FEE_INST_002_000055,STU_INST_002_0010,Transport Fee,2024-25,Q1,2025-09-19,16577,16577,0,Paid,2025-05-21,Card Payment,0
FEE_INST_002_000056,STU_INST_002_0010,Admission Fee,2024-25,Q1,2025-11-09,14920,14920,0,Paid,2025-08-18,UPI,0
FEE_INST_002_000057,STU_INST_002_0010,Activity Fee,2024-25,Q1,2025-10-17,4506,4506,0,Paid,2025-09-13,Cash,0
FEE_INST_002_000058,STU_INST_002_0010,Exam Fee,2024-25,Q3,2025-12-12,3272,3272,0,Paid,2025-07-18,Card Payment,0
FEE_INST_002_000059,STU_INST_002_0011,Lab Fee,2024-25,Q1,2025-12-09,5988,0,5988,Pending,,,0
FEE_INST_002_000060,STU_INST_002_0011,Activity Fee,2024-25,Q2,2025-09-05,3765,0,3765,Pending,,,0
