student_id,mentor_id,parent_id,Week_1_Attendance,Week_2_Attendance,Week_3_Attendance,Week_4_Attendance,Week_5_Attendance,Week_6_Attendance,Week_7_Attendance,Week_8_Attendance,Week_9_Attendance,Week_10_Attendance,Week_11_Attendance,Week_12_Attendance,Attendance_Decline_Score,Is_Declining_Attendance,Average_Attendance,Lowest_Week_Attendance,Highest_Week_Attendance
100001,200001,300001,90,87,95,94,94,91,90,89,100,88,87,89,2.67,No,91.17,87,100
100002,200002,300002,64,82,51,85,62,84,76,64,78,67,50,60,6.67,No,68.58,50,85
100003,200003,300003,90,88,84,86,90,83,82,92,83,91,91,88,-2.67,No,87.33,82,92
100004,200004,300004,82,71,80,70,77,79,74,70,70,75,77,70,3.67,No,74.58,70,82
100005,200005,300005,77,86,82,88,85,79,85,85,80,82,76,79,2.67,No,82,76,88
100006,200006,300006,91,89,98,96,92,91,94,85,91,85,94,96,1,No,91.83,85,98
100007,200007,300007,77,81,85,81,90,87,89,79,83,79,82,83,-0.33,No,83,77,90
100008,200008,300008,98,97,96,92,89,100,100,87,86,88,89,90,8,No,92.67,86,100
100009,200009,300009,54,74,74,79,83,66,85,50,57,84,67,71,-6.67,No,70.33,50,85
100010,200010,300010,74,70,66,62,58,54,50,46,42,38,34,30,36,Yes,52,30,74
100011,200011,300011,89,81,90,76,84,92,81,92,79,85,92,82,0.33,No,85.25,76,92
100012,200012,300012,82,76,87,71,81,86,71,74,82,80,78,72,5,No,78.33,71,87
100013,200013,300013,76,76,89,76,78,78,89,79,82,90,87,80,-5.33,No,81.67,76,90
100014,200014,300014,90,93,96,95,98,100,98,87,91,91,86,94,2.67,No,93.25,86,100
100015,200015,300015,74,74,70,70,70,74,70,70,77,70,83,74,-3,No,73,70,83
100016,200016,300016,81,63,84,58,80,65,80,76,62,56,56,77,13,No,69.83,56,84
100017,200017,300017,91,91,92,79,81,79,90,88,81,85,84,84,7,No,85.42,79,92
100018,200018,300018,98,88,97,89,92,98,91,86,98,87,85,84,9,No,91.08,84,98
100019,200019,300019,76,74,82,84,84,75,81,70,74,81,70,81,0,No,77.67,70,84
100020,200020,300020,79,75,71,67,63,59,55,51,47,43,39,35,36,Yes,57,35,79
100021,200021,300021,90,94,96,85,87,90,87,82,82,91,82,82,8.33,No,87.33,82,96
100022,200022,300022,100,100,100,90,86,100,87,90,87,87,92,97,8,No,93,86,100
100023,200023,300023,65,52,55,76,83,70,66,63,70,65,66,75,-11.33,No,67.17,52,83
100024,200024,300024,80,85,81,73,71,85,74,73,77,87,79,75,1.67,No,78.33,71,87
100025,200025,300025,80,85,89,87,83,92,87,94,78,87,81,82,1.33,No,85.42,78,94
100026,200001,300026,78,78,79,83,84,81,85,81,83,91,90,83,-9.67,No,83,78,91
100027,200002,300027,70,81,76,70,70,78,72,76,73,82,81,70,-2,No,74.92,70,82
100028,200003,300028,72,74,71,81,74,83,74,71,79,81,71,81,-5.33,No,76,71,83
100029,200004,300029,80,76,84,86,77,80,78,78,86,73,78,83,2,No,79.92,73,86
100030,200005,300030,84,80,76,72,68,64,60,56,52,48,44,40,36,Yes,62,40,84
100031,200006,300031,82,79,77,86,75,89,81,80,88,85,83,81,-3.67,No,82.17,75,89
100032,200007,300032,74,80,86,84,82,76,82,85,90,86,84,74,-1.33,No,81.92,74,90
100033,200008,300033,78,75,78,71,73,83,81,80,83,86,73,82,-3.33,No,78.58,71,86
100034,200009,300034,91,93,86,98,85,100,91,96,98,87,95,95,-2.33,No,92.92,85,100
100035,200010,300035,79,86,79,83,80,82,79,74,76,83,82,75,1.33,No,79.83,74,86
100036,200011,300036,95,98,86,95,95,92,99,96,100,100,100,92,-4.33,No,95.67,86,100
100037,200012,300037,80,60,55,68,82,71,55,65,69,64,62,59,3.33,No,65.83,55,82
100038,200013,300038,70,74,82,70,81,80,73,79,82,79,74,71,0.67,No,76.25,70,82
100039,200014,300039,87,90,100,94,92,100,100,88,94,90,100,91,-1.33,No,93.83,87,100
100040,200015,300040,85,81,77,73,69,65,61,57,53,49,45,41,36,Yes,63,41,85
100041,200016,300041,93,97,99,96,97,88,98,97,91,90,91,99,3,No,94.67,88,99
100042,200017,300042,89,90,96,84,91,89,90,92,92,84,86,86,6.33,No,89.08,84,96
100043,200018,300043,86,78,80,76,87,87,84,88,87,75,80,87,0.67,No,82.92,75,88
100044,200019,300044,51,74,80,50,72,69,74,76,84,84,64,81,-8,No,71.58,50,84
100045,200020,300045,82,87,89,74,86,84,86,79,88,78,74,86,6.67,No,82.75,74,89
100046,200021,300046,85,87,98,89,99,90,86,93,97,95,91,99,-5,No,92.42,85,99
