score_id,student_id,subject_name,week_id,test_score,max_score,institute_id
1,200001,Computer Science,1,86,100,2
2,200001,Chemistry,1,97,100,2
3,200001,Biology,1,68,100,2
4,200002,Computer Science,1,100,100,2
5,200002,Chemistry,1,100,100,2
6,200002,Biology,1,95,100,2
7,200003,Computer Science,1,83,100,2
8,200003,Chemistry,1,68,100,2
9,200003,Biology,1,73,100,2
10,200004,Computer Science,1,73,100,2
11,200004,Chemistry,1,68,100,2
12,200004,Biology,1,76,100,2
13,200005,Computer Science,1,71,100,2
14,200005,Chemistry,1,74,100,2
15,200005,Biology,1,53,100,2
16,200006,Computer Science,1,97,100,2
17,200006,Chemistry,1,81,100,2
18,200006,Biology,1,95,100,2
19,200007,Computer Science,1,91,100,2
20,200007,Chemistry,1,70,100,2
21,200007,Biology,1,84,100,2
22,200008,Computer Science,1,55,100,2
23,200008,Chemistry,1,74,100,2
24,200008,Biology,1,73,100,2
25,200009,Computer Science,1,90,100,2
26,200009,Chemistry,1,83,100,2
27,200009,Biology,1,75,100,2
28,200010,Computer Science,1,71,100,2
29,200010,Chemistry,1,86,100,2
30,200010,Biology,1,97,100,2
31,200011,Computer Science,1,79,100,2
32,200011,Chemistry,1,81,100,2
33,200011,Biology,1,88,100,2
34,200012,Computer Science,1,91,100,2
35,200012,Chemistry,1,62,100,2
36,200012,Biology,1,96,100,2
37,200013,Computer Science,1,72,100,2
38,200013,Chemistry,1,100,100,2
39,200013,Biology,1,74,100,2
40,200014,Computer Science,1,79,100,2
41,200014,Chemistry,1,71,100,2
42,200014,Biology,1,100,100,2
43,200015,Computer Science,1,81,100,2
44,200015,Chemistry,1,94,100,2
45,200015,Biology,1,78,100,2
46,200016,Computer Science,1,64,100,2
47,200016,Chemistry,1,69,100,2
48,200016,Biology,1,55,100,2
49,200017,Computer Science,1,82,100,2
50,200017,Chemistry,1,85,100,2
51,200017,Biology,1,69,100,2
52,200018,Computer Science,1,59,100,2
53,200018,Chemistry,1,73,100,2
54,200018,Biology,1,66,100,2
55,200019,Computer Science,1,85,100,2
56,200019,Chemistry,1,82,100,2
57,200019,Biology,1,76,100,2
58,200020,Computer Science,1,100,100,2
59,200020,Chemistry,1,80,100,2
60,200020,Biology,1,100,100,2
61,200021,Computer Science,1,79,100,2
62,200021,Chemistry,1,67,100,2
63,200021,Biology,1,79,100,2
64,200022,Computer Science,1,86,100,2
65,200022,Chemistry,1,86,100,2
66,200022,Biology,1,84,100,2
67,200023,Computer Science,1,70,100,2
68,200023,Chemistry,1,98,100,2
69,200023,Biology,1,72,100,2
70,200024,Computer Science,1,59,100,2
71,200024,Chemistry,1,45,100,2
72,200024,Biology,1,77,100,2
73,200025,Computer Science,1,75,100,2
74,200025,Chemistry,1,87,100,2
75,200025,Biology,1,94,100,2
76,200026,Computer Science,1,78,100,2
77,200026,Chemistry,1,70,100,2
78,200026,Biology,1,66,100,2
79,200027,Computer Science,1,90,100,2
80,200027,Chemistry,1,87,100,2
81,200027,Biology,1,65,100,2
82,200028,Computer Science,1,90,100,2
83,200028,Chemistry,1,100,100,2
84,200028,Biology,1,87,100,2
85,200029,Computer Science,1,62,100,2
86,200029,Chemistry,1,71,100,2
87,200029,Biology,1,60,100,2
88,200030,Computer Science,1,59,100,2
89,200030,Chemistry,1,88,100,2
90,200030,Biology,1,67,100,2
91,200031,Computer Science,1,90,100,2
92,200031,Chemistry,1,81,100,2
93,200031,Biology,1,84,100,2
94,200032,Computer Science,1,50,100,2
95,200032,Chemistry,1,66,100,2
96,200032,Biology,1,78,100,2
97,200033,Computer Science,1,75,100,2
98,200033,Chemistry,1,69,100,2
99,200033,Biology,1,86,100,2
100,200034,Computer Science,1,67,100,2
101,200034,Chemistry,1,73,100,2
102,200034,Biology,1,83,100,2
103,200035,Computer Science,1,75,100,2
104,200035,Chemistry,1,97,100,2
105,200035,Biology,1,64,100,2
106,200036,Computer Science,1,65,100,2
107,200036,Chemistry,1,100,100,2
108,200036,Biology,1,83,100,2
109,200037,Computer Science,1,81,100,2
110,200037,Chemistry,1,86,100,2
111,200037,Biology,1,81,100,2
112,200038,Computer Science,1,85,100,2
113,200038,Chemistry,1,75,100,2
114,200038,Biology,1,79,100,2
115,200039,Computer Science,1,77,100,2
116,200039,Chemistry,1,95,100,2
117,200039,Biology,1,92,100,2
118,200040,Computer Science,1,74,100,2
119,200040,Chemistry,1,90,100,2
120,200040,Biology,1,78,100,2
121,200041,Computer Science,1,85,100,2
